,OBS,VINT,LPRICE2,WRAIN,DEGREES,HRAIN,TIME_SV
0,1,1952,-0.9986799999999999,600,17.1167,160,31
1,2,1953,-0.4544,690,16.7333,80,30
3,4,1955,-0.80796,502,17.15,130,28
5,6,1957,-1.50926,420,16.1333,110,26
6,7,1958,-1.71655,582,16.4167,187,25
7,8,1959,-0.418,485,17.4833,187,24
8,9,1960,-1.97491,763,16.4167,290,23
9,10,1961,0.0,830,17.3333,38,22
10,11,1962,-1.10572,697,16.3,52,21
11,12,1963,-1.78098,608,15.7167,155,20
12,13,1964,-1.18435,402,17.2667,96,19
13,14,1965,-2.24194,602,15.3667,267,18
14,15,1966,-0.74943,819,16.5333,86,17
15,16,1967,-1.65388,714,16.2333,118,16
16,17,1968,-2.25018,610,16.2,292,15
17,18,1969,-2.14784,575,16.55,244,14
18,19,1970,-0.9054399999999999,622,16.6667,89,13
19,20,1971,-1.30031,551,16.7667,112,12
20,21,1972,-2.28879,536,14.9833,158,11
21,22,1973,-1.857,376,17.0667,123,10
22,23,1974,-2.19958,574,16.3,184,9
23,24,1975,-1.2016799999999999,572,16.95,171,8
24,25,1976,-1.3726399999999999,418,17.65,247,7
25,26,1977,-2.23503,821,15.5833,87,6
26,27,1978,-1.30769,763,15.8167,51,5
27,28,1979,-1.5396,717,16.1667,122,4
28,29,1980,-1.9958200000000001,578,16.0,74,3
